가동개시일_day,고도,고도 방류량,고도 유입하수량,목표수질(BOD)_0,목표수질(BOD)_1,목표수질(BOD)_2,방류 COD,방류 SS,방류 T-N,방류 T-P,방류 총대장균군수,방류량,방류수소독방법_기타,방류수소독방법_염소,방류수소독방법_오존,방류수소독방법_자외선,사업비(백만원),생물학적,생물학적 방류량,생물학적 유입하수량,수계_0,수계_1,수계_2,시도_0,시도_1,시도_2,시도_3,시도_4,시설용량,안전사고건수,연계처리량_기타,연계처리량_분뇨,연계처리량_축산,연계처리량_침출수,운영주체_0,운영주체_1,위탁비용,유입 COD,유입 SS,유입 T-N,유입 T-P,유입 총대장균군수,유입하수량,자체 에너지사용량,재생에너지 이용률,준공일_day,지역구분_0,지역구분_1,지역구분_2,직원총수(명),처리부하량,총 에너지사용량,총 전력사용량,하수처리량당 (CO2)배출량
4634,70,60.6,60.6,0,1,0,5.9,4.1,9.084,0.288,94,60.6,1,1,1,1,1400.0,0,0.0,0.0,0,1,0,1,0,0,0,0,70,0,0.0,0.0,0.0,0.0,1,0,0.0,106.2,119.2,35.389,3.392,86472,60.6,0.0,0.0,4634,1,0,0,0,9.2,11.5,50110.0,1.038
1420,30,24.8,24.8,1,0,0,9.9,4.9,12.505,1.413,168,24.8,1,1,1,1,1237.0,0,0.0,0.0,0,1,1,0,1,1,1,0,30,0,0.0,0.0,0.0,0.0,1,0,0.0,68.4,95.9,32.855,6.631,155833,24.8,0.0,0.0,1462,1,0,1,0,2.4,6.9,30317.0,1.537
4961,40,26.3,26.2,1,0,1,12.1,4.8,15.744000000000002,1.53,170,26.3,1,1,1,1,250000.0,0,0.0,0.0,0,1,0,0,1,1,1,1,40,0,0.0,0.0,0.0,0.0,0,1,0.0,49.3,186.2,18.761,1.742,101197,26.2,0.0,0.0,4961,1,0,1,0,1.2,3.8,16501.0,0.789
4748,40,28.6,28.6,1,0,0,7.9,3.9,11.464,1.551,169,28.6,1,1,1,1,1319.0,0,0.0,0.0,1,0,0,0,1,1,0,0,40,0,0.0,0.0,0.0,0.0,1,0,0.0,102.1,176.6,49.622,5.023,170583,28.6,0.0,0.0,4748,1,0,1,0,6.9,0.5,1975.0,0.087
1211,500,464.2,519.5,1,0,0,4.4,1.9,5.846,0.105,3,464.2,1,1,1,1,9933.0,0,0.0,0.0,1,0,0,0,1,1,0,1,500,0,0.0,0.0,0.0,0.0,1,0,126.4,70.6,120.5,23.794,2.102,59377,519.5,0.0,0.0,1850,0,1,1,0,50.5,54.0,235634.0,0.637
4231,40,34.0,34.0,0,1,1,6.5,5.1,8.895,0.3779999999999999,16,34.0,1,1,1,1,981.0,0,0.0,0.0,0,1,0,0,1,1,1,1,40,0,0.0,0.0,0.0,0.0,1,0,0.0,88.0,177.9,37.95,2.9760000000000004,85750,34.0,0.0,0.0,4231,1,0,1,0,5.7,4.5,19464.0,0.718
10561,350000,241030.7,260185.6,0,0,1,15.7,8.0,29.643,1.52,2210,241030.7,0,1,0,0,207287.0,0,0.0,0.0,0,0,1,0,0,1,0,0,350000,0,0.0,2287.1,0.0,0.0,1,1,14932.0,116.6,145.3,66.737,4.814,79385,260185.6,126.0,2.2,10593,0,1,0,69,43771.3,5825.7,24889621.0,0.13
3256,170,128.5,148.7,0,0,1,7.6,2.6,10.09,0.759,29,128.5,1,1,1,1,11626.0,0,0.0,0.0,1,0,0,0,1,1,0,1,170,0,0.0,0.0,0.0,0.0,1,0,59.4,115.7,168.0,35.137,3.616,137075,148.7,0.0,0.0,3256,1,0,0,0,28.3,36.7,160374.0,1.5659999999999998
6057,150,90.6,90.6,0,1,0,5.7,0.1,15.015999999999998,0.6559999999999999,0,90.6,1,1,1,1,1161.0,0,0.0,0.0,0,1,0,1,0,0,0,0,150,0,0.0,0.0,0.0,0.0,1,0,0.0,91.8,140.6,37.697,3.5380000000000003,70849,90.6,0.0,0.0,6057,1,0,0,0,11.3,16.4,71700.0,0.993
3256,80,59.0,59.0,1,0,1,6.6,3.0,8.484,0.807,157,59.0,1,1,1,1,2842.0,0,0.0,0.0,0,0,1,0,1,0,1,0,80,0,0.0,0.0,0.0,0.0,1,0,18.7,58.1,90.9,29.81,3.638,157538,59.0,0.0,0.0,3304,1,0,0,0,5.5,4.8,21152.0,0.45
