가동개시일_day,고도,고도 방류량,고도 유입하수량,목표수질(BOD)_0,목표수질(BOD)_1,목표수질(BOD)_2,방류 COD,방류 SS,방류 T-N,방류 T-P,방류 총대장균군수,방류량,방류수소독방법_기타,방류수소독방법_염소,방류수소독방법_오존,방류수소독방법_자외선,사업비(백만원),생물학적,생물학적 방류량,생물학적 유입하수량,수계_0,수계_1,수계_2,시도_0,시도_1,시도_2,시도_3,시도_4,시설용량,안전사고건수,연계처리량_기타,연계처리량_분뇨,연계처리량_축산,연계처리량_침출수,운영주체_0,운영주체_1,위탁비용,유입 COD,유입 SS,유입 T-N,유입 T-P,유입 총대장균군수,유입하수량,자체 에너지사용량,재생에너지 이용률,준공일_day,지역구분_0,지역구분_1,지역구분_2,직원총수(명),처리부하량,총 에너지사용량,총 전력사용량,하수처리량당 (CO2)배출량
6449,28,17.3,17.3,0,1,1,9.5,6.5,13.268,1.4269999999999998,76,17.3,1,1,1,1,67.0,0,0.0,0.0,0,1,0,1,0,0,0,0,28,0,0.0,0.0,0.0,0.0,1,0,0.0,78.5,135.8,49.661,4.324,81000,17.3,0.0,0.0,6449,1,0,1,0,2.2,1.1,4728.0,0.342
2324,80,64.3,64.3,0,1,1,5.2,2.9,9.602,1.001,129,64.3,1,1,1,1,2132.0,0,0.0,0.0,0,1,1,0,0,1,0,1,80,0,0.0,0.0,0.0,0.0,1,0,11.5,115.3,846.2,38.111,4.709,86555,64.3,0.0,0.0,2347,1,0,0,0,26.9,0.9,3940.0,0.077
4596,34,0.0,0.0,0,0,1,6.8,4.2,12.39,0.8029999999999999,23,1.0,1,1,1,1,167.0,0,1.0,1.0,0,1,1,0,1,1,0,1,34,0,0.0,0.0,0.0,0.0,1,0,8.6,64.4,103.8,29.03,2.044,33667,1.0,0.0,0.0,4596,1,0,1,0,0.1,0.0,0.0,0.0
7061,50,41.0,41.0,0,1,1,6.6,0.8,13.441,1.324,33,41.0,1,1,1,1,433.0,0,0.0,0.0,1,0,1,0,1,1,0,1,50,0,0.0,0.0,0.0,0.0,1,0,0.0,52.7,63.1,33.852,4.224,37490,41.0,0.0,0.0,7061,1,0,0,0,2.8,4.3,18617.0,0.569
4231,130,86.3,89.6,0,1,1,18.0,6.5,11.897,1.275,271,86.3,1,1,1,1,2440.0,0,0.0,0.0,1,0,1,0,1,1,1,0,130,0,0.0,0.0,0.0,0.0,1,0,0.0,72.4,99.1,41.344,4.47,184192,89.6,0.0,0.0,4231,1,0,0,0,7.9,10.8,47365.0,0.6890000000000001
4594,45,0.0,0.0,0,1,0,6.0,3.8,9.218,1.756,302,42.0,1,1,1,1,0.0,0,42.0,42.2,0,1,0,1,0,0,0,0,45,0,0.0,0.0,0.0,0.0,0,1,0.0,43.3,112.8,21.486,3.622,359167,42.2,0.0,0.0,4594,1,0,1,0,4.0,4.0,17457.0,0.524
2200,80,56.1,56.1,1,0,1,12.3,3.8,12.307,1.241,141,56.1,1,1,1,1,2309.0,0,0.0,0.0,0,1,0,0,1,1,1,1,80,0,0.0,0.0,0.0,0.0,1,0,9.0,105.4,94.8,29.856,4.327,47285,56.1,0.0,0.0,2566,1,0,0,0,9.3,5.1,22342.0,0.5
1547,50,40.3,45.8,1,0,1,6.0,0.7,10.56,0.936,10,40.3,1,1,1,1,2316.0,0,0.0,0.0,1,0,0,0,1,0,1,1,50,0,0.0,0.0,0.0,0.0,1,0,0.0,67.8,125.3,31.255,3.157,136673,45.8,0.0,0.0,1576,1,0,0,0,5.3,13.0,56579.0,1.763
3309,150,63.3,63.3,0,1,1,8.3,4.5,6.74,0.434,29,63.3,1,1,1,1,2924.0,0,0.0,0.0,1,0,0,0,1,0,1,1,150,0,0.0,0.0,0.0,0.0,1,0,66.0,148.7,177.3,40.831,5.343999999999999,190788,63.3,0.0,0.0,3309,1,0,0,0,11.9,13.8,60348.0,1.2
3234,240,95.0,95.0,1,0,1,8.0,1.6,10.057,0.515,34,95.0,1,1,1,1,13440.0,0,0.0,0.0,0,0,1,0,1,0,1,1,240,0,0.0,0.0,0.0,0.0,1,0,67.0,106.2,163.0,45.93899999999999,5.207000000000001,126923,95.0,0.0,0.0,3234,1,0,0,15,15.1,48.2,210308.0,2.779
