시설용량,생물학적,고도,유입하수량,생물학적 유입하수량,고도 유입하수량,방류량,생물학적 방류량,고도 방류량,유입 COD,방류 COD,유입 SS,방류 SS,유입 T-N,방류 T-N,유입 T-P,방류 T-P,유입 총대장균군수,방류 총대장균군수,처리부하량,연계처리량_분뇨,연계처리량_축산,연계처리량_침출수,연계처리량_기타,사업비(백만원),목표수질(BOD)_0,목표수질(BOD)_1,목표수질(BOD)_2,재생에너지 이용률,총 에너지사용량,총 전력사용량,자체 에너지사용량,하수처리량당 (CO2)배출량,위탁비용,직원총수(명),안전사고건수,시도_0,시도_1,시도_2,시도_3,시도_4,운영주체_0,운영주체_1,지역구분_0,지역구분_1,지역구분_2,수계_0,수계_1,수계_2,준공일_day,가동개시일_day,방류수소독방법_염소,방류수소독방법_자외선,방류수소독방법_오존,방류수소독방법_기타,처리효율
50,0,50,26.1,0.0,26.1,26.1,0.0,26.1,108.9,9.4,206.7,2.2,40.707,6.303999999999999,4.103,1.3730000000000002,210000,41,4.8,0.0,0.0,0.0,0.0,4180.0,1,0,1,0.0,1.1,4881.0,0.0,1.409,0.0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,190,58,1,1,1,1,98.7
220,0,220,182.9,0.0,182.9,182.9,0.0,182.9,49.4,16.9,93.4,5.8,48.067,17.247,5.858,1.631,45369,394,29.0,0.0,0.0,0.0,0.0,1254.0,0,1,1,0.0,9.5,41460.0,0.0,0.285,0.0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,3850,3850,1,1,1,1,95.9
40,0,40,27.8,0.0,27.8,27.8,0.0,27.8,61.8,18.9,77.5,7.6,44.553,15.844,4.126,1.777,110250,637,4.6,0.0,0.0,0.0,0.0,279.0,0,1,1,0.0,4.5,19770.0,0.0,0.893,9.0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,4017,4017,1,1,1,1,95.2
65,0,65,51.5,0.0,51.5,51.5,0.0,51.5,85.2,8.3,88.3,5.1,33.47,9.967,4.571000000000001,1.301,46095,122,4.5,0.0,0.0,0.0,0.0,0.0,0,1,1,0.0,5.8,25281.0,0.0,1.473,0.0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,304,153,1,1,1,1,95.0
60,0,60,67.2,0.0,67.2,67.2,0.0,67.2,68.2,8.0,124.0,4.3,29.704,10.561,3.005,0.938,31115,0,6.0,0.0,0.0,0.0,0.0,841.1,0,1,1,0.0,12.8,56001.0,0.0,1.045,0.0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,3805,3805,1,1,1,1,98.6
80000,40000,40000,86750.8,0.0,86750.8,71870.9,0.0,71870.9,122.4,8.5,265.2,3.4,47.418,9.984,4.843,0.133,100760,891,22932.3,103.0,0.0,0.0,0.0,163800.0,1,0,0,0.0,2994.0,13074336.0,0.0,0.228,10714.0,24,0,0,1,0,0,1,1,0,0,0,1,0,0,1,6385,6385,0,1,0,0,98.6
34,34,0,20.9,20.9,0.0,20.9,20.9,0.0,94.2,14.9,139.2,4.8,30.884,15.548,3.215,1.214,22083,1019,2.9,0.0,0.0,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,19.7,8,0,0,1,1,0,0,1,0,1,0,1,1,0,0,7335,7335,1,1,1,1,97.5
12,12,0,12.0,12.0,0.0,12.0,12.0,0.0,123.9,11.7,142.4,5.7,48.027,13.969,5.731,0.586,111375,776,2.6,0.0,0.0,0.0,0.0,200.0,0,1,1,0.0,0.2,812.0,0.0,0.085,0.0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,8402,8402,1,0,1,1,98.1
35,35,0,35.0,35.0,0.0,35.0,35.0,0.0,81.6,11.9,94.8,5.4,31.407,14.271,3.657,1.586,58750,958,3.0,0.0,0.0,0.0,0.0,120.0,0,1,1,0.0,0.4,1691.0,0.0,0.061,0.0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,7696,7696,1,1,1,1,94.5
6500,0,6500,6165.2,0.0,6165.2,5274.6,0.0,5274.6,65.6,8.0,135.7,1.4,35.49,7.016,4.023,0.081,28235,1,1076.0,0.0,0.0,0.0,0.0,37944.0,0,1,1,0.0,277.7,1212881.0,0.0,0.289,1110.6,8,0,0,1,0,1,0,1,0,0,0,1,0,0,1,3077,3192,0,1,0,0,98.6
