시설용량,물리적,생물학적,고도,유입하수량,물리적 유입하수량,생물학적 유입하수량,고도 유입하수량,방류량,물리적 방류량,생물학적 방류량,고도 방류량,유입 BOD,방류 BOD,유입 COD,방류 COD,유입 SS,방류 SS,유입 T-N,방류 T-N,유입 T-P,방류 T-P,유입 총대장균군수,방류 총대장균군수,처리효율,처리부하량,연계처리량_분뇨,연계처리량_축산,연계처리량_침출수,연계처리량_기타,사업비(백만원),방류수 소독방법,목표수질(BOD),재생에너지 이용률,총 에너지사용량,총 전력사용량,자체 에너지사용량,하수처리량당 (CO2)배출량,위탁비용,직원총수(명),안전사고건수,시도,구군,시설명,소재지,처리방법,적용신기술,중심처리시설,운영주체,명칭,지역구분,세부단위 구역,지류,수계,준공일_day,가동개시일_day
860000,0,0,860000,557225.3,0,0.0,557225.3,561135.4,0,0.0,561135.4,131.0,2.2,60.0,7.2,108.5,3.1,30.074,12.654000000000002,3.033,0.135,208608,376,98.3,71755.6,3454.2,0.0,1163.8,120.0,219247.0,염소 ,Ⅱ,32.1,21751.7,64519339.0,6976.8,0.14400000000000002,0.0,0,1,서울특별시,덕양구,난지,경기도 고양시 덕양구 현천동 692-2 ,"중력침전법,표준활성슬러지법,MLE,A2O",0,0,자체,한강서울,500톤 이상(Ⅲ지역),한강본류,한강,한강,12238,12238
1590000,0,100000,1490000,1263583.9,0,126961.3,1136622.6,1284644.9,0,148022.3,1136622.6,140.1,5.8,78.6,7.7,95.8,4.6,32.577,12.083,3.452,0.23600000000000002,108013,691,95.9,169770.0,4278.4,0.0,12.1,257.1,283085.0,염소 오존 ,Ⅱ,24.9,52385.6,171733833.0,13058.6,0.168,0.0,0,0,서울특별시,성동구,중랑물재생센터,서울특별시 성동구 용답동 247-6 ,"표준활성슬러지법,MLE,SBAF",0,0,자체,한강서울,500톤 이상(Ⅲ지역),한강본류,중랑천,한강,16172,16172
1630000,0,120000,1510000,1607080.8,0,150526.6,1456554.2,1607080.8,0,150526.6,1456554.2,121.9,3.7,66.9,9.5,123.9,3.6,31.224,12.045,3.215,0.215,276749,73,97.0,190026.1,4079.1,0.0,12.3,213.7,771904.0,염소 ,Ⅱ,18.2,52546.7,187665765.0,9571.2,0.147,79861.0,175,0,서울특별시,강서구,서남,서울특별시 강서구 마곡동 74 ,"기타,표준활성슬러지법,MLE,4 stage-BNR",0,0,민간(대행),한강서울,500톤 이상(Ⅲ지역),한강본류,한강,한강,12238,12359
900000,0,0,900000,752384.9,0,0.0,752384.9,752384.9,0,0.0,752384.9,145.2,5.0,60.8,9.0,139.7,3.7,33.357,11.765999999999998,3.638,0.172,174172,398,96.6,105531.9,47.7,0.0,13.3,0.0,417347.0,염소 기타,Ⅱ,20.2,22510.7,78450185.0,4545.6,0.131,55789.3,133,1,서울특별시,강남구,탄천,서울특별시 강남구 일원동 580 ,"표준활성슬러지법,MLE",0,0,민간(대행),한강서울,500톤 이상(Ⅲ지역),한강본류,한강,한강,12076,12076
120000,0,0,120000,51697.2,0,0.0,51697.2,52037.6,0,0.0,52037.6,115.7,3.2,60.5,4.9,117.2,3.2,30.714000000000002,8.604,3.0380000000000003,0.594,50473,53,97.2,5813.9,0.0,0.0,0.0,1205.9,160300.0,자외선 ,Ⅳ,2.8,1874.1,7955798.0,52.2,0.192,4983.6,23,0,부산광역시,서구,중앙,부산광역시 서구 암남동 704-1 ,BIOFOR,0,0,공기업,낙동강남해,500톤 이상(Ⅳ지역),남해동부,낙동강,낙동강,5479,5478
95000,0,0,95000,38670.4,0,0.0,38670.4,37048.7,0,0.0,37048.7,131.7,2.7,67.0,7.7,130.6,2.9,31.145,9.025,3.583,1.064,154546,20,97.9,4985.9,0.0,0.0,0.0,0.0,79572.0,자외선 ,Ⅰb,0.0,1390.0,6069835.0,0.0,0.20600000000000002,3897.0,19,0,부산광역시,영도구,영도,부산광역시 영도구 동삼동 175-2 ,KSBNR,"건설교통부 신기술 지정 제210호, 환경부신기술 검증 제59호/지정 제78호",0,공기업,수영강,500톤 이상(Ⅳ지역),동부경남,낙동강,낙동강,5479,5478
452000,0,122000,330000,351683.5,0,69131.0,282552.5,315231.4,0,61785.0,253446.4,158.6,6.9,80.5,8.7,180.0,3.6,43.262,8.645,4.436,0.625,68186,35,95.6,53322.8,0.0,0.0,0.0,247.0,465100.0,염소 자외선 ,Ⅱ,25.5,13642.4,44365278.0,3482.8,0.177,0.0,34,0,부산광역시,동래구,수영,부산광역시 동래구 온천천남로 185   부산광역시 동래구 안락동 1108,"표준활성슬러지법,MLE,MBR",0,0,공기업,낙동밀양,500톤 이상(Ⅳ지역),동부경남,수영강,낙동강,11933,11933
340000,0,0,340000,321016.7,0,0.0,321016.7,290553.9,0,0.0,290553.9,134.2,2.2,70.3,8.7,184.5,2.1,34.778,7.912000000000001,3.763,0.6,146120,106,98.4,42391.2,0.0,0.0,0.0,0.0,291700.0,염소 ,Ⅰb,22.2,11844.8,40235806.0,2630.8,0.174,0.0,40,0,부산광역시,남구,남부,부산광역시 남구 용호동 12 ,"표준활성슬러지법,MBR,MLE",0,0,공기업,수영강,500톤 이상(Ⅳ지역),동부경남,낙동강,낙동강,8975,8975
135000,0,0,135000,74875.3,0,0.0,74875.3,73197.6,0,0.0,73197.6,92.1,7.8,63.9,9.1,114.2,3.2,31.059,11.581,3.145,0.201,155986,143,91.5,6309.9,0.0,0.0,0.0,0.0,126402.0,자외선 ,Ⅰb,0.0,2237.8,9772103.0,0.0,0.168,0.0,0,0,부산광역시,해운대구,동부,부산광역시 해운대구 재송동 1191 ,BIOFOR,0,0,민간(대행),수영강,500톤 이상(Ⅳ지역),동부경남,수영강,낙동강,5180,5179
65000,0,65000,0,39076.1,0,39076.1,0.0,38144.1,0,38144.1,0.0,203.3,2.1,132.9,9.3,265.5,0.4,59.636,6.92,6.567,0.217,540820,109,99.0,7864.7,0.0,0.0,0.0,0.0,13945.0,자외선 ,Ⅰb,2.3,1270.5,5423326.0,28.6,0.17800000000000002,0.0,82,0,부산광역시,해운대구,해운대,부산광역시 해운대구 좌동 1425 ,표준활성슬러지법,0,0,공기업,수영강,500톤 이상(Ⅳ지역),동부경남,춘천,낙동강,8887,8887
