시도,구군,시설명,소재지,시설용량,물리적,생물학적,고도,유입하수량,물리적 유입하수량,생물학적 유입하수량,고도 유입하수량,방류량,물리적 방류량,생물학적 방류량,고도 방류량,유입 BOD,방류 BOD,유입 COD,방류 COD,유입 SS,방류 SS,유입 T-N,방류 T-N,유입 T-P,방류 T-P,유입 총대장균군수,방류 총대장균군수,처리효율,처리부하량,처리방법,적용신기술,연계처리량_분뇨,연계처리량_축산,연계처리량_침출수,연계처리량_기타,준공일,가동개시일,사업비(백만원),방류수 소독방법,수계,지류,세부단위 구역,지역구분,명칭,목표수질(BOD),재생에너지 이용률,총 에너지사용량,총 전력사용량,자체 에너지사용량,하수처리량당 (CO2)배출량,운영주체,위탁업체명,위탁비용,위탁계약기간(시작),위탁계약기간(종료),중심처리시설,직원총수(명),안전사고건수
서울특별시,,난지,경기도 고양시 덕양구 현천동 692-2 ,860000,0,0,860000,557225.3,0,0,557225.3,561135.4,0,0,561135.4,131,2.2,60,7.2,108.5,3.1,30.074,12.654,3.033,0.135,208608,376,98.3,71755.6,"중력침전법,표준활성슬러지법,MLE,A2O",,3454.2,0,1163.8,120,1987-06-30,1987-06-30,219247,염소 ,한강,한강,한강본류,500톤 이상(Ⅲ지역),한강서울,Ⅱ,32.1,21751.7,64519339,6976.8,0.144,자체,,0,,,,0,1
서울특별시,성동구,중랑물재생센터,서울특별시 성동구 용답동 247-6 ,1590000,0,100000,1490000,1263583.9,0,126961.3,1136622.6,1284644.9,0,148022.3,1136622.6,140.1,5.8,78.6,7.7,95.8,4.6,32.577,12.083,3.452,0.236,108013,691,95.9,169770,"표준활성슬러지법,MLE,SBAF",,4278.4,0,12.1,257.1,1976-09-21,1976-09-21,283085,염소 오존 ,한강,중랑천,한강본류,500톤 이상(Ⅲ지역),한강서울,Ⅱ,24.9,52385.6,171733833,13058.6,0.168,자체,,0,,,,0,0
서울특별시,강서구,서남,서울특별시 강서구 마곡동 74 ,1630000,0,120000,1510000,1607080.8,0,150526.6,1456554.2,1607080.8,0,150526.6,1456554.2,121.9,3.7,66.9,9.5,123.9,3.6,31.224,12.045,3.215,0.215,276749,73,97,190026.1,"기타,표준활성슬러지법,MLE,4 stage-BNR",,4079.1,0,12.3,213.7,1987-06-30,1987-03-01,771904,염소 ,한강,한강,한강본류,500톤 이상(Ⅲ지역),한강서울,Ⅱ,18.2,52546.7,187665765,9571.2,0.147,민간(대행),(주)서남환경,79861,2019-07-01,2020-12-31,,175,0
서울특별시,강남구,탄천,서울특별시 강남구 일원동 580 ,900000,0,0,900000,752384.9,0,0,752384.9,752384.9,0,0,752384.9,145.2,5,60.8,9,139.7,3.7,33.357,11.766,3.638,0.172,174172,398,96.6,105531.9,"표준활성슬러지법,MLE",,47.7,0,13.3,0,1987-12-09,1987-12-09,417347,염소 기타,한강,,한강본류,500톤 이상(Ⅲ지역),한강서울,Ⅱ,20.2,22510.7,78450185,4545.6,0.131,민간(대행),(주)탄천환경,55789.3,2018-01-01,2020-12-31,,133,1
부산광역시,서구,중앙,부산광역시 서구 암남동 704-1 ,120000,0,0,120000,51697.2,0,0,51697.2,52037.6,0,0,52037.6,115.7,3.2,60.5,4.9,117.2,3.2,30.714,8.604,3.038,0.594,50473,53,97.2,5813.9,BIOFOR,,0,0,0,1205.9,2005-12-31,2006-01-01,160300,자외선 ,낙동강,낙동강,남해동부,500톤 이상(Ⅳ지역),낙동강남해,Ⅳ,2.8,1874.1,7955798,52.2,0.192,공기업,부산환경공단,4983.6,2017-06-12,2021-12-31,,23,0
부산광역시,영도구,영도,부산광역시 영도구 동삼동 175-2 ,95000,0,0,95000,38670.4,0,0,38670.4,37048.7,0,0,37048.7,131.7,2.7,67,7.7,130.6,2.9,31.145,9.025,3.583,1.064,154546,20,97.9,4985.9,KSBNR,"건설교통부 신기술 지정 제210호, 환경부신기술 검증 제59호/지정 제78호",0,0,0,0,2005-12-31,2006-01-01,79572,자외선 ,낙동강,낙동강,동부경남,500톤 이상(Ⅳ지역),수영강,Ⅰb,0,1390,6069835,0,0.206,공기업,(주)푸른영도,3897,2005-01-01,2020-12-31,,19,0
부산광역시,동래구,수영,부산광역시 동래구 온천천남로 185   부산광역시 동래구 안락동 1108,452000,0,122000,330000,351683.5,0,69131,282552.5,315231.4,0,61785,253446.4,158.6,6.9,80.5,8.7,180,3.6,43.262,8.645,4.436,0.625,68186,35,95.6,53322.8,"표준활성슬러지법,MLE,MBR",,0,0,0,247,1988-04-30,1988-04-30,465100,염소 자외선 ,낙동강,수영강,동부경남,500톤 이상(Ⅳ지역),낙동밀양,Ⅱ,25.5,13642.4,44365278,3482.8,0.177,공기업,부산환경공단,0,2017-01-01,2021-12-31,,34,0
부산광역시,남구,남부,부산광역시 남구 용호동 12 ,340000,0,0,340000,321016.7,0,0,321016.7,290553.9,0,0,290553.9,134.2,2.2,70.3,8.7,184.5,2.1,34.778,7.912,3.763,0.6,146120,106,98.4,42391.2,"표준활성슬러지법,MBR,MLE",,0,0,0,0,1996-06-05,1996-06-05,291700,염소 ,낙동강,낙동강,동부경남,500톤 이상(Ⅳ지역),수영강,Ⅰb,22.2,11844.8,40235806,2630.8,0.174,공기업,부산환경공단,0,2017-01-01,2021-12-31,,40,0
부산광역시,해운대구,동부,부산광역시 해운대구 재송동 1191 ,135000,0,0,135000,74875.3,0,0,74875.3,73197.6,0,0,73197.6,92.1,7.8,63.9,9.1,114.2,3.2,31.059,11.581,3.145,0.201,155986,143,91.5,6309.9,BIOFOR,,0,0,0,0,2006-10-26,2006-10-27,126402,자외선 ,낙동강,수영강,동부경남,500톤 이상(Ⅳ지역),수영강,Ⅰb,0,2237.8,9772103,0,0.168,민간(대행),"(주)삼성엔지니어링,한국수자원공사",0,2006-10-27,2021-10-26,,0,0
부산광역시,해운대구,해운대,부산광역시 해운대구 좌동 1425 ,65000,0,65000,0,39076.1,0,39076.1,0,38144.1,0,38144.1,0,203.3,2.1,132.9,9.3,265.5,0.4,59.636,6.92,6.567,0.217,540820,109,99,7864.7,표준활성슬러지법,,0,0,0,0,1996-09-01,1996-09-01,13945,자외선 ,낙동강,춘천,동부경남,500톤 이상(Ⅳ지역),수영강,Ⅰb,2.3,1270.5,5423326,28.6,0.178,공기업,부산환경공단,0,2017-01-01,2021-12-31,,82,0
