,시설용량,생물학적,고도,유입하수량,생물학적 유입하수량,고도 유입하수량,방류량,생물학적 방류량,고도 방류량,유입 BOD,방류 BOD,유입 COD,방류 COD,유입 SS,방류 SS,유입 T-N,방류 T-N,유입 T-P,방류 T-P,유입 총대장균군수,방류 총대장균군수,처리부하량,연계처리량_분뇨,연계처리량_축산,연계처리량_침출수,연계처리량_기타,사업비(백만원),목표수질(BOD)_0,목표수질(BOD)_1,목표수질(BOD)_2,재생에너지 이용률,총 에너지사용량,총 전력사용량,자체 에너지사용량,하수처리량당 (CO2)배출량,위탁비용,직원총수(명),안전사고건수,시도_0,시도_1,시도_2,시도_3,시도_4,운영주체_0,운영주체_1,지역구분_0,지역구분_1,지역구분_2,수계_0,수계_1,수계_2,준공일_day,가동개시일_day,방류수소독방법_염소,방류수소독방법_자외선,방류수소독방법_오존,방류수소독방법_기타,처리효율
0,860000,0,860000,557225.3,0.0,557225.3,561135.4,0.0,561135.4,131.0,2.2,60.0,7.2,108.5,3.1,30.074,12.654000000000002,3.033,0.135,208608,376,71755.6,3454.2,0.0,1163.8,120.0,219247.0,0,0,1,32.1,21751.7,64519339.0,6976.8,0.144,0.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,12238,12238,1,0,0,0,98.3
1,1590000,100000,1490000,1263583.9,126961.3,1136622.6,1284644.9,148022.3,1136622.6,140.1,5.8,78.6,7.7,95.8,4.6,32.577,12.083,3.452,0.236,108013,691,169770.0,4278.4,0.0,12.1,257.1,283085.0,0,0,1,24.9,52385.6,171733833.0,13058.6,0.168,0.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,16172,16172,1,0,1,0,95.9
2,1630000,120000,1510000,1607080.8,150526.6,1456554.2,1607080.8,150526.6,1456554.2,121.9,3.7,66.9,9.5,123.9,3.6,31.224,12.045,3.215,0.215,276749,73,190026.1,4079.1,0.0,12.3,213.7,771904.0,0,0,1,18.2,52546.7,187665765.0,9571.2,0.147,79861.0,175,0,0,0,0,0,1,1,0,0,0,1,0,0,1,12238,12359,1,0,0,0,97.0
3,900000,0,900000,752384.9,0.0,752384.9,752384.9,0.0,752384.9,145.2,5.0,60.8,9.0,139.7,3.7,33.357,11.765999999999998,3.638,0.172,174172,398,105531.9,47.7,0.0,13.3,0.0,417347.0,0,0,1,20.2,22510.7,78450185.0,4545.6,0.131,55789.3,133,1,0,0,0,0,1,1,0,0,0,1,0,0,1,12076,12076,1,0,0,1,96.6
4,120000,0,120000,51697.2,0.0,51697.2,52037.6,0.0,52037.6,115.7,3.2,60.5,4.9,117.2,3.2,30.714,8.604,3.0380000000000003,0.594,50473,53,5813.9,0.0,0.0,0.0,1205.9,160300.0,0,1,0,2.8,1874.1,7955798.0,52.2,0.192,4983.6,23,0,0,0,0,1,0,1,1,0,1,0,0,1,0,5479,5478,0,1,0,0,97.2
5,95000,0,95000,38670.4,0.0,38670.4,37048.7,0.0,37048.7,131.7,2.7,67.0,7.7,130.6,2.9,31.145,9.025,3.583,1.064,154546,20,4985.9,0.0,0.0,0.0,0.0,79572.0,0,1,1,0.0,1390.0,6069835.0,0.0,0.206,3897.0,19,0,0,0,0,1,0,1,1,0,1,0,0,1,0,5479,5478,0,1,0,0,97.9
6,452000,122000,330000,351683.5,69131.0,282552.5,315231.4,61785.0,253446.4,158.6,6.9,80.5,8.7,180.0,3.6,43.262,8.645,4.436,0.625,68186,35,53322.8,0.0,0.0,0.0,247.0,465100.0,0,0,1,25.5,13642.4,44365278.0,3482.8,0.177,0.0,34,0,0,0,0,1,0,1,1,0,1,0,0,1,0,11933,11933,1,1,0,0,95.6
7,340000,0,340000,321016.7,0.0,321016.7,290553.9,0.0,290553.9,134.2,2.2,70.3,8.7,184.5,2.1,34.778,7.912000000000001,3.763,0.6,146120,106,42391.2,0.0,0.0,0.0,0.0,291700.0,0,1,1,22.2,11844.8,40235806.0,2630.8,0.174,0.0,40,0,0,0,0,1,0,1,1,0,1,0,0,1,0,8975,8975,1,0,0,0,98.4
8,135000,0,135000,74875.3,0.0,74875.3,73197.6,0.0,73197.6,92.1,7.8,63.9,9.1,114.2,3.2,31.059,11.581,3.145,0.201,155986,143,6309.9,0.0,0.0,0.0,0.0,126402.0,0,1,1,0.0,2237.8,9772103.0,0.0,0.168,0.0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,5180,5179,0,1,0,0,91.5
9,65000,65000,0,39076.1,39076.1,0.0,38144.1,38144.1,0.0,203.3,2.1,132.9,9.3,265.5,0.4,59.636,6.92,6.567,0.217,540820,109,7864.7,0.0,0.0,0.0,0.0,13945.0,0,1,1,2.3,1270.5,5423326.0,28.6,0.178,0.0,82,0,0,0,0,1,0,1,1,0,1,0,0,1,0,8887,8887,0,1,0,0,99.0
